49353,2277
28495,8521
99887,6544
71151,4442
48300,6419
63687,2072
25482,4128
43527,4077
79489,1885
57498,1822
39332,3790
84530,1891
11038,9428
30333,6208
49340,1431
98992,2415
84409,4399
33108,5248
16116,2165
55771,4299
45301,6449
48556,9361
46081,8285
88962,7236
62058,9677
60736,9227
91780,7379
68643,1812
49708,8279
14290,2115
76566,4087
14581,3542
77580,6857
42124,8906
63852,1594
24929,7969
11023,1141
66430,3477
55151,9162
38737,9723
36379,5839
96065,9446
15591,2469
62606,6402
85958,9693
60717,5777
45448,5910
82354,4554
43596,1365
89796,7302
77885,6444
98220,6253
95379,1958
75828,6698
22162,5648
76668,5419
47569,9907
93626,2425
72267,5563
26257,4742
49565,1033
61804,6285
58501,5843
77433,6088
67553,3210
56488,8170
67313,8123
45498,8066
74351,2356
44813,4925
78695,2904
26265,8219
34098,9339
52566,9542
92008,5850
80450,3331
90547,2794
51470,5473
77072,8259
31206,1630
11510,7702
10955,2961
10715,4769
80393,6985
20488,9838
52376,3694
53948,7555
40022,2247
87321,9055
80349,5609
82763,7852
55273,7616
67914,8117
26337,2543
23653,3296
54466,3732
43793,1284
79272,8192
37573,9314
86996,3033
11896,8623
92419,5714
80739,5314
47783,2611
96614,1176
53824,8458
86567,1698
71162,7444
16906,3163
83989,5064
38781,6170
74959,4950
14859,1095
30974,9178
83964,3866
62689,6334
53814,9533
43612,4316
38711,4249
39871,8296
89573,3506
24424,5940
35983,1413
23617,3861
63241,2389
77602,5147
32021,1080
50833,4376
72099,9100
44927,6337
89736,7246
17040,7810
93630,3634
78380,1125
71775,8454
72943,3858
23730,8996
92739,7236
14828,4631
34914,8485
55534,9467
64065,1331
56733,9845
74277,9056
25417,7176
67562,4314
86320,8016
72791,5271
65699,3427
52888,9469
57651,6611
65481,6859
50840,8292
98073,8681
60355,9806
92000,6209
92288,6530
51899,8973
67156,2052
11164,5763
75231,8160
21386,5278
79700,4482
73909,9226
97888,5314
60809,3857
97058,7787
31863,2112
49035,2399
31104,2766
88258,3308
47333,8046
38483,6264
73424,3996
25590,1721
33748,5804
48940,6703
35854,6557
94096,1818
41122,8601
33706,4825
55355,5346
53509,5864
21746,8501
79724,5105
90174,4716
70195,1763
98784,2963
18022,3795
23995,1665
89043,8393
16065,5717
58866,2120
95908,8994
54246,9135
55322,7638
41272,4239
68842,5694
50291,5022
53817,6217
86615,1481
88317,5198
36461,3707
24876,5494
88656,1577
27715,9521
54256,3795
55316,1598
32548,9581
97950,6822
78914,1483
26937,8774
62469,7332
36720,1012
78563,4104
96807,8580
45753,7808
93386,1386
48598,4742
76242,9832
44661,7131
99909,5179
37131,3869
39257,2255
12057,7260
55178,1269
50616,3469
11666,5548
27487,8378
95708,1434
77546,1087
29132,2792
20345,6971
20797,7148
83269,9575
26251,8027
59452,1352
93343,9286
15600,7584
95752,1827
38025,3583
12632,7565
73445,9152
27344,3486
52743,5352
43625,2923
27689,4789
10516,6273
58224,2969
37462,6125
92646,4699
10992,6056
72783,2946
46055,6814
41411,3251
19945,5196
31154,7244
17596,8129
88163,3742
50836,5073
40633,8573
57301,4220
42765,7191
29946,4971
12021,6199
20425,3810
53624,8929
77426,5570
65666,1955
40898,1212
33019,1480
60506,1603
24574,5540
10498,8476
41173,9816
78347,3345
93584,8351
32736,6245
27536,3640
24424,8864
74891,3094
16975,4610
77121,5792
61548,3711
80966,1311
40653,2862
39355,7393
51802,8368
53373,7772
39989,9830
60400,7905
58414,5589
11637,6835
67643,6204
84161,3258
25367,4669
22461,8571
72033,2222
95893,7193
76019,5977
71955,6299
37271,2499
39703,2662
51299,7578
27102,1084
85381,2974
95197,6846
79275,2642
14736,7985
48073,8627
59783,3216
10470,1524
77909,2071
21069,3003
36042,8903
26269,8711
91119,1466
17149,2996
60063,3961
48010,8810
23540,5761
83587,1375
64612,3437
10278,9270
33085,7405
96313,7583
27082,6499
29436,3108
29890,4907
54871,7072
75736,3220
63906,6486
38335,9471
50523,3396
72985,5015
13178,4174
50936,6678
26469,1164
22657,7123
26368,7148
79936,1978
94829,5168
21388,8239
89217,9971
68205,4764
36829,8752
97457,5808
92891,4273
64018,5952
51339,6582
29113,5632
24303,5971
51044,5191
34806,7241
98589,9930
91290,9518
10140,4873
58754,2574
85113,2957
38306,9036
43351,9321
83871,1679
68054,4623
93096,5834
34390,3151
41670,3842
10670,3340
71067,5512
62235,9703
98949,2686
41501,3121
73953,7782
30432,3461
70145,5578
14758,8013
54267,6491
34261,8420
79743,5778
51585,5527
13030,5732
35878,1128
11991,1620
93790,6462
55977,9896
52066,9757
38256,2913
70042,5497
91151,8788
11590,3061
30165,9569
91574,4872
17549,7330
77585,9293
43285,7858
83707,5244
53796,6971
40047,5753
84948,1938
10393,1069
15116,7251
72933,1142
82982,8783
44404,6549
68999,1893
33962,2478
90522,9571
80578,4844
54955,2757
86684,9402
53781,2640
68566,2724
